"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","corSampleVSgoldstandard","meanAbsDifferenceSampleVSgoldstandard","predictedGender","meanXchromosome","predictedTissue","ProbabilityFrom.X.Vasc.Endoth.Umbilical.","ProbabilityFrom.Ape.WB","ProbabilityFrom.Blood.CD4.Tcells","ProbabilityFrom.Blood.CD4.CD14","ProbabilityFrom.Blood.Cell.Types","ProbabilityFrom.Blood.Cord","ProbabilityFrom.Blood.PBMC","ProbabilityFrom.Blood.WB","ProbabilityFrom.Bone","ProbabilityFrom.Brain.Cerebellar","ProbabilityFrom.Brain.CRBLM","ProbabilityFrom.Brain.FCTX","ProbabilityFrom.Brain.Occipital.Cortex","ProbabilityFrom.Brain.PONS","ProbabilityFrom.Brain.Prefr.CTX","ProbabilityFrom.Brain.TCTX","ProbabilityFrom.Breast","ProbabilityFrom.Breast.NL","ProbabilityFrom.Buccal","ProbabilityFrom.Cartilage.Knee","ProbabilityFrom.Colon","ProbabilityFrom.Dermal.fibroblast","ProbabilityFrom.Epidermis","ProbabilityFrom.Fat.Adip","ProbabilityFrom.Gastric","ProbabilityFrom.GlialCell","ProbabilityFrom.Head.Neck","ProbabilityFrom.Heart","ProbabilityFrom.Kidney","ProbabilityFrom.Liver","ProbabilityFrom.Liver.","ProbabilityFrom.Lung","ProbabilityFrom.MSC","ProbabilityFrom.Muscle","ProbabilityFrom.Neuron","ProbabilityFrom.Placenta","ProbabilityFrom.Prostate.NL","ProbabilityFrom.Saliva","ProbabilityFrom.Sperm","ProbabilityFrom.Stomach","ProbabilityFrom.Thyroid","ProbabilityFrom.Uterine.Cervix","ProbabilityFrom.Uterine.Endomet","AgeAccelerationDiff","AgeAccelerationResidual","Sample_ID","Age","Female","Tissue"
"X203548870026_R07C01",9.60499572779151," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.236698501462784,0,0.984779296549823,0.788389441081522,0.113260753889886,"female",0.454999508743975,"Colon",0.014,0.008,0,0.002,0.01,0.002,0.014,0.006,0.014,0.008,0.012,0.006,0,0,0.014,0,0.004,0.01,0.084,0.028,0.398,0.006,0.012,0,0.028,0.012,0.02,0.006,0.032,0.02,0.012,0.028,0.016,0.006,0.01,0.022,0.04,0.034,0.018,0.002,0.002,0.028,0.012,8.60499572779151,3.17843138919479,"203548870026_R07C01",1,1,"Gastric"
"X203548970031_R07C01",5.79332108110489," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.236292995186218,0,0.983674225262329,0.797133055851904,0.109830295494962,"female",0.415470403606828,"Colon",0.022,0.01,0.002,0.004,0.008,0.006,0.006,0.01,0.018,0,0.014,0.004,0,0.004,0.016,0,0.006,0.008,0.112,0.022,0.388,0.004,0.012,0,0.02,0.008,0.024,0.008,0.044,0.022,0.008,0.022,0.014,0.004,0.006,0.014,0.042,0.022,0.022,0,0.004,0.022,0.018,3.79332108110489,-1.0392648505905,"203548970031_R07C01",2,1,"Gastric"
"X201172560031_R01C01",10.2870678704893," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.231228473553256,0,0.978669803300227,0.780114203507345,0.113728135746418,"male",0.273605901744406,"Colon",0.012,0.008,0.002,0,0.008,0.008,0.012,0.008,0.02,0.004,0.024,0.004,0.004,0,0.01,0,0.006,0.006,0.1,0.02,0.424,0.008,0.022,0,0.034,0.002,0.022,0.012,0.022,0.012,0.008,0.014,0.006,0.006,0.008,0.014,0.038,0.036,0.012,0,0.008,0.028,0.008,-2.71293212951074,-1.01175558529146,"201172560031_R01C01",13,0,"Gastric"
"X203548970094_R06C01",11.0638654627008," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.230251987493446,0,0.980300229436563,0.770208964731616,0.11856134189295,"male",0.261695405052145,"Colon",0.012,0.014,0.002,0.004,0.012,0.008,0.004,0.004,0.014,0.006,0.026,0.006,0,0,0.014,0,0.008,0.004,0.09,0.03,0.396,0.014,0.024,0,0.038,0.004,0.02,0.012,0.028,0.014,0.01,0.014,0.004,0.01,0.002,0.032,0.036,0.034,0.016,0.004,0.008,0.018,0.004,-1.93613453729925,-0.234957993079969,"203548970094_R06C01",13,0,"Gastric"
"X203548970094_R02C01",6.31039284671286," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.229282888920548,0,0.982195504977815,0.753488018755793,0.124685550299795,"male",0.25040223380859,"Colon",0.022,0.016,0.012,0.006,0.018,0,0.01,0.004,0.016,0.006,0.016,0.012,0,0.002,0.006,0.002,0.006,0.004,0.106,0.018,0.352,0.008,0.02,0,0.028,0.004,0.026,0.006,0.032,0.012,0.006,0.01,0.012,0.018,0.004,0.024,0.048,0.034,0.026,0.004,0.014,0.014,0.016,-5.68960715328714,-4.58240901596919,"203548970094_R02C01",12,0,"Gastric"
"X203548970031_R03C01",5.47300111547128," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.22975973361057,0,0.988227542471808,0.798302327120098,0.109119287372315,"male",0.256078065830006,"Colon",0.03,0.004,0.002,0,0.012,0.008,0.012,0.014,0.02,0.002,0.018,0.002,0,0.002,0.016,0,0.014,0.004,0.094,0.022,0.334,0.002,0.016,0,0.026,0.004,0.024,0.008,0.038,0.026,0.008,0.028,0.016,0.008,0.006,0.02,0.048,0.036,0.014,0.006,0.01,0.028,0.018,4.47300111547128,-0.953563223125439,"203548970031_R03C01",1,0,"Gastric"
"X203548970084_R03C01",6.89907178561787," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.233462060972023,0,0.980515776279653,0.792109718949353,0.10976550597354,"female",0.416923239093655,"Colon",0.01,0.004,0,0.004,0.01,0.002,0.008,0.008,0.01,0.002,0.008,0.004,0,0.004,0.006,0.002,0.002,0.006,0.09,0.018,0.562,0.002,0.014,0,0.024,0.004,0.018,0.006,0.01,0.006,0.002,0.004,0.006,0.004,0.002,0.02,0.038,0.026,0.014,0,0.006,0.02,0.014,2.89907178561787,-0.745557332274844,"203548970084_R03C01",4,1,"Gastric"
"X203548970085_R03C01",8.69920579640066," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.235104513054916,0,0.981360032297445,0.791663813572996,0.110572406885147,"female",0.413784987952009,"Colon",0.014,0.008,0.002,0.004,0.01,0.002,0.012,0.008,0.02,0.002,0.006,0.006,0,0.002,0.006,0,0.006,0.004,0.104,0.018,0.462,0.006,0.014,0,0.034,0.004,0.016,0.008,0.012,0.008,0.002,0.022,0.01,0.006,0.006,0.022,0.048,0.028,0.02,0,0.004,0.018,0.016,4.69920579640066,1.05457667850794,"203548970085_R03C01",4,1,"Gastric"
"X203548870035_R07C01",10.2129331761759," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.229880654254529,0,0.988092889159925,0.788365149374291,0.112147616297738,"female",0.428898123815514,"Colon",0.014,0.012,0,0.002,0.014,0.002,0.004,0.01,0.016,0.004,0.018,0.006,0,0.002,0.014,0,0.006,0.008,0.1,0.02,0.378,0.006,0.018,0,0.028,0.004,0.024,0.01,0.04,0.016,0.006,0.02,0.01,0.008,0.004,0.014,0.062,0.036,0.024,0.002,0.004,0.024,0.01,6.21293317617586,2.56830405828314,"203548870035_R07C01",4,1,"Gastric"
"X203548970085_R04C01",11.7647939557558," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.239828709900348,0,0.987454210809944,0.78386808787362,0.114543149442594,"female",0.441243577624427,"Colon",0.01,0.006,0,0.002,0.006,0,0.01,0.008,0.014,0.004,0.008,0.004,0,0.004,0.006,0,0.004,0.008,0.088,0.02,0.536,0.006,0.014,0,0.02,0.002,0.024,0.006,0.018,0.006,0.004,0.012,0.008,0.008,0.002,0.018,0.038,0.024,0.016,0,0.002,0.024,0.01,-1.23520604424417,0.465970499975114,"203548970085_R04C01",13,1,"Gastric"
"X203548970036_R07C01",9.18921413233336," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.23189941529255,0,0.983330378861387,0.764372771558884,0.120806498501195,"female",0.438026436245915,"Colon",0.02,0.022,0.004,0.008,0.018,0.004,0.01,0.012,0.018,0.012,0.024,0.004,0.002,0.002,0.012,0,0,0.006,0.094,0.012,0.338,0.004,0.018,0,0.04,0.006,0.02,0.012,0.044,0.008,0.008,0.012,0.008,0.006,0.002,0.026,0.032,0.044,0.026,0.004,0.006,0.03,0.022,-3.81078586766664,-2.10960932344736,"203548970036_R07C01",13,1,"Gastric"
"X201172580001_R04C01",7.03730313211864," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.234714094666903,0,0.984205953844451,0.792918045820713,0.111029680701122,"male",0.264534740875464,"Colon",0.022,0.002,0,0.002,0.01,0,0.008,0.004,0.022,0.002,0.006,0.004,0,0.002,0.006,0,0.01,0.006,0.084,0.018,0.544,0.002,0.01,0,0.018,0.004,0.018,0.004,0.016,0.004,0.006,0.012,0.002,0.006,0.002,0.016,0.054,0.028,0.016,0,0.008,0.018,0.004,-1.96269686788136,-2.63743395126741,"201172580001_R04C01",9,0,"Gastric"
"X201172570026_R04C01",3.30796387916241," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.235858967905838,0,0.982103727609966,0.792183640107387,0.111563213119736,"male",0.276913631345285,"Colon",0.016,0.008,0,0.006,0.008,0.002,0.008,0.01,0.016,0.006,0.006,0.004,0,0.002,0.01,0,0.004,0.006,0.1,0.024,0.422,0.002,0.02,0,0.026,0.006,0.022,0.006,0.042,0.026,0.01,0.014,0.012,0.004,0.004,0.014,0.04,0.032,0.024,0,0.008,0.018,0.012,-5.69203612083759,-6.36677320422365,"201172570026_R04C01",9,0,"Gastric"
"X203548970094_R03C01",10.3301067215601," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.235312711027865,0,0.980490500691143,0.791975001634026,0.110893263417314,"male",0.26000205251314,"Colon",0.008,0.004,0,0.002,0.008,0.008,0.008,0.004,0.014,0,0.01,0.006,0,0.004,0.006,0,0.008,0.006,0.094,0.014,0.558,0.006,0.014,0,0.022,0.002,0.02,0.006,0.008,0.004,0.004,0.01,0.008,0.004,0,0.012,0.038,0.03,0.01,0,0.006,0.024,0.01,1.33010672156007,0.655369638174014,"203548970094_R03C01",9,0,"Gastric"
"X203548970038_R07C01",8.10198929900985," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.232922833326877,0,0.983932604995963,0.790414242019696,0.111891261595948,"male",0.26133854670479,"Colon",0.014,0.006,0,0.004,0.012,0.004,0.002,0.008,0.01,0.002,0.016,0.004,0,0.002,0.008,0,0.004,0.006,0.1,0.016,0.448,0.004,0.02,0,0.026,0.008,0.022,0.012,0.034,0.012,0.006,0.026,0.01,0.006,0.004,0.016,0.046,0.026,0.014,0.002,0.004,0.024,0.012,-0.898010700990151,-1.5727477843762,"203548970038_R07C01",9,0,"Gastric"
"X201172560044_R02C01",5.6586663571899," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.233085063358256,0,0.987833152220588,0.787830347262215,0.112578353233935,"male",0.259347805851974,"Colon",0.008,0.014,0,0.004,0.008,0.002,0.004,0.01,0.008,0.002,0.012,0.004,0,0.002,0.01,0,0.006,0.01,0.092,0.014,0.462,0.004,0.016,0,0.03,0.004,0.016,0.012,0.034,0.014,0.006,0.024,0.004,0.006,0.006,0.012,0.028,0.03,0.016,0.004,0.01,0.03,0.022,-8.3413336428101,-6.04617869168949,"201172560044_R02C01",14,0,"Gastric"
"X203548970084_R05C01",8.8335875892449," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.23593291981955,0,0.981468049751523,0.773776513512254,0.118041560171675,"male",0.262580350483662,"Colon",0.014,0.01,0,0.006,0.008,0.008,0.01,0.004,0.022,0.01,0.024,0.004,0,0.008,0.01,0,0.004,0.008,0.098,0.022,0.336,0.006,0.022,0,0.046,0.004,0.02,0.008,0.038,0.016,0.014,0.018,0.02,0.014,0.002,0.022,0.034,0.028,0.024,0.008,0.008,0.028,0.014,-5.1664124107551,-2.87125745963449,"203548970084_R05C01",14,0,"Gastric"
"X203548970094_R05C01",14.8691719767974," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.238474993191241,0,0.983286543444621,0.789098606841089,0.112249786922526,"male",0.263634394297433,"Colon",0.01,0.004,0.002,0.004,0.01,0.002,0.016,0.006,0.014,0,0.006,0.004,0,0,0.006,0,0.008,0.004,0.092,0.006,0.58,0.004,0.01,0,0.012,0.002,0.014,0.008,0.022,0.004,0.002,0.01,0.004,0.004,0.002,0.014,0.04,0.03,0.016,0,0.004,0.02,0.004,2.86917197679743,3.97637011411537,"203548970094_R05C01",12,0,"Gastric"
"X203548970044_R08C01",9.19769760790414," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.234718771983154,0,0.981541337379738,0.779866956992166,0.116924165345139,"male",0.259107756512076,"Colon",0.024,0.006,0.002,0.008,0.012,0.01,0.006,0.004,0.008,0.004,0.012,0.006,0,0.002,0.018,0,0.006,0.008,0.1,0.012,0.382,0.008,0.016,0,0.032,0.008,0.02,0.01,0.028,0.02,0.004,0.032,0.01,0.008,0.006,0.018,0.044,0.026,0.016,0.006,0.008,0.032,0.018,-2.80230239209586,-1.69510425477792,"203548970044_R08C01",12,0,"Gastric"
"X201172560046_R02C01",14.0516697757246," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.241242034216266,0,0.983243835099479,0.791016989342037,0.112088284221338,"female",0.451893787865548,"Colon",0.006,0.008,0.002,0.008,0.008,0.002,0.012,0.01,0.008,0.002,0.006,0.004,0,0.002,0.006,0.002,0.002,0.004,0.09,0.012,0.598,0.006,0.012,0,0.02,0.002,0.02,0.004,0.014,0.002,0.002,0.006,0.008,0.004,0,0.008,0.042,0.024,0.014,0,0.004,0.014,0.002,-0.948330224275431,1.94080313374651,"201172560046_R02C01",15,1,"Gastric"
"X201172560044_R01C01",9.82762600588905," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.232890136795619,0,0.983488680314304,0.786015356043863,0.112928666673242,"female",0.443024929753364,"Colon",0.016,0.006,0,0.004,0.006,0.004,0.006,0.008,0.01,0.002,0.01,0.004,0,0.002,0.01,0,0.008,0.006,0.084,0.016,0.46,0.008,0.018,0,0.02,0.006,0.02,0.012,0.034,0.018,0.01,0.032,0.012,0.01,0.004,0.016,0.032,0.028,0.018,0.004,0.004,0.02,0.012,-5.17237399411095,-2.28324063608901,"201172560044_R01C01",15,1,"Gastric"
"X201172560048_R03C01",7.98919352779212," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.238530123934922,0,0.984231873373226,0.794179988451454,0.110088895211065,"female",0.439353158405697,"Colon",0.016,0.006,0,0.004,0.004,0.002,0.008,0.008,0.012,0.002,0.006,0.006,0,0.002,0.006,0,0,0.006,0.076,0.012,0.596,0.004,0.014,0.002,0.016,0.002,0.02,0.006,0.018,0.006,0.002,0.01,0.004,0.004,0,0.014,0.026,0.032,0.014,0.002,0.008,0.016,0.008,0.989193527792123,-0.873500369396597,"201172560048_R03C01",7,1,"Gastric"
"X201172560047_R03C01",5.3278554163814," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.236743408185403,0,0.982072562163636,0.791560271038249,0.110652841764646,"female",0.432483123342036,"Colon",0.012,0.004,0.004,0.006,0.006,0,0.012,0.01,0.018,0.004,0.016,0.004,0,0.002,0.01,0,0.008,0.006,0.098,0.02,0.442,0.008,0.012,0,0.03,0.008,0.014,0.006,0.04,0.016,0.004,0.026,0.014,0.006,0.002,0.012,0.03,0.03,0.016,0.002,0.004,0.024,0.014,-1.6721445836186,-3.53483848080732,"201172560047_R03C01",7,1,"Gastric"
