"ID","Name","NumGenes","CorrectedPvalue","Multifunctionality","GeneMemberDiff"
"GO:0097485","neuron projection guidance",251,2e-06,0.925,"APBB2, BDNF, BMP7, BOC, CDH4, CHN1, CNTN2, CNTN4, CNTN6, CRMP1, CSF1R, CXCL12, DAB1, DAG1, DCC, DOK5, DOK6, DRAXIN, DRGX, DSCAM, DSCAML1, DVL1, EFNA5, EGFLAM, EPHA10, EPHA2, EPHA5, EPHA6, EPHB1, EVL, FAM129B, FLRT2, FYN, GAB2, GAP43, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GRB2, IGSF9, IRS2, KIF5C, KLF7, LAMA2, LGI1, LGR6, LMX1A, LRTM2, MATN2, NCAM1, NEXN, NFASC, NFIB, NPTN, NR4A3, NRP1, NRXN1, NRXN3, NTN1, NTRK1, PALLD, PIK3CD, PLXNA4, PLXNB2, PLXNC1, PRKCA, PRKCQ, PTPRM, PTPRO, RAP1GAP, RELN, RET, RHOBTB3, ROBO1, ROBO2, ROBO4, RYK, SEMA5A, SEMA5B, SHC1, SHC3, SLIT1, SLIT2, SLIT3, SPTA1, SPTAN1, SPTBN1, SPTBN4, SPTBN5, TNR, UNC5A, UNC5B, UNC5C, UNC5D, WNT5A"
"GO:0007411","axon guidance",248,4e-06,0.925,"APBB2, BDNF, BMP7, BOC, CDH4, CHN1, CNTN2, CNTN4, CNTN6, CRMP1, CSF1R, CXCL12, DAB1, DAG1, DCC, DOK5, DOK6, DRAXIN, DRGX, DSCAM, DSCAML1, DVL1, EFNA5, EGFLAM, EPHA10, EPHA2, EPHA5, EPHA6, EPHB1, EVL, FAM129B, FLRT2, FYN, GAB2, GAP43, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GRB2, IGSF9, IRS2, KIF5C, KLF7, LAMA2, LGI1, LGR6, LMX1A, LRTM2, MATN2, NCAM1, NEXN, NFASC, NFIB, NPTN, NR4A3, NRP1, NRXN1, NRXN3, NTN1, NTRK1, PALLD, PIK3CD, PLXNA4, PLXNB2, PLXNC1, PRKCA, PRKCQ, PTPRM, PTPRO, RAP1GAP, RELN, RET, RHOBTB3, ROBO1, ROBO2, ROBO4, RYK, SHC1, SHC3, SLIT1, SLIT2, SLIT3, SPTA1, SPTAN1, SPTBN1, SPTBN4, SPTBN5, TNR, UNC5A, UNC5B, UNC5C, UNC5D, WNT5A"
"GO:0061564","axon development",393,4e-06,0.939,"APBB2, ATP8A2, AUTS2, B4GALT5, BDNF, BMP7, BOC, CDH11, CDH4, CHN1, CNR1, CNTN2, CNTN4, CNTN6, COBL, COL25A1, CRMP1, CRTAC1, CSF1R, CTNNA1, CTNNA2, CXCL12, DAB1, DAG1, DCC, DCLK1, DDR1, DOK5, DOK6, DRAXIN, DRD2, DRGX, DSCAM, DSCAML1, DVL1, EFNA5, EGFLAM, EPHA10, EPHA2, EPHA5, EPHA6, EPHB1, EVL, FAM129B, FLRT2, FYN, GAB2, GAP43, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GRB2, HSP90AB1, IGSF9, IRS2, KIF5C, KLF7, LAMA2, LGI1, LGR6, LMX1A, LRTM2, MAG, MAP1B, MAP2, MARK2, MATN2, MEGF8, NCAM1, NCAM2, NDEL1, NDN, NEXN, NFASC, NFIB, NPTN, NR4A3, NREP, NRP1, NRXN1, NRXN3, NTN1, NTNG2, NTRK1, NUMBL, PAFAH1B1, PALLD, PARD3, PARD6B, PICALM, PIK3CD, PLXNA4, PLXNB2, PLXNC1, PRKCA, PRKCQ, PTPRM, PTPRO, PTPRZ1, RAP1GAP, RELN, RET, RHOBTB3, ROBO1, ROBO2, ROBO4, RTN4RL1, RYK, SEMA5A, SEMA5B, SHC1, SHC3, SLIT1, SLIT2, SLIT3, SLITRK1, SPTA1, SPTAN1, SPTBN1, SPTBN4, SPTBN5, TNFRSF21, TNN, TNR, TSPAN2, ULK2, UNC5A, UNC5B, UNC5C, UNC5D, WNT5A, ZEB2"
"GO:0007626","locomotory behavior",188,6e-06,0.949,"ABCA2, ADCY5, ADCY8, ALK, ANKH, APBA1, APBA2, ASTN1, ATP1A2, BTBD9, CACNA1B, CDH23, CELSR1, CHRNB4, CNTN2, CRH, CXCL12, DAB1, DLG4, DMBX1, DMRT3, DPP4, DRD2, DRD3, DSCAM, ESPN, FGF12, FIG4, GDNF, GNAO1, GPR37, GPR88, GRM1, GRM5, HIPK2, HPGDS, IDO1, KALRN, KCND2, KCNJ10, KLHL1, LMX1A, LRRK2, MC3R, MTA1, MYO15A, MYO5A, NAGLU, NAV2, NEGR1, NLGN2, NMS, NOVA1, NPY2R, NRG1, NTSR1, OPRD1, OPRM1, OTOG, OXR1, PAFAH1B1, PAK6, PDE1B, PREX2, PRKCE, SCN1A, SEZ6, SEZ6L, SLC4A10, SNAP25, SPTBN4, TH, TNR, TRH, ZIC1"
"GO:0006836","neurotransmitter transport",167,9e-06,0.959,"ADA, APBA1, ATP1A2, CACNA1B, CADPS2, CHAT, CPLX1, CPLX4, CSF2, CTBP2, DDC, DGKI, DOC2B, DVL1, ERC2, GRM4, HBB, HSPA8, KCNJ10, LIN7A, LYN, NF1, NLGN1, NRXN1, NRXN2, NTSR1, OTOF, PCLO, PIP5K1C, PPFIA2, PPFIA4, PTPRN2, RIMS1, RIMS3, RIMS4, RPH3A, SEC14L1, SLC17A6, SLC17A7, SLC18A1, SLC22A3, SLC25A12, SLC25A18, SLC36A1, SLC36A2, SLC44A4, SLC6A1, SLC6A11, SLC6A13, SLC6A17, SLC6A19, SLC6A9, SLC7A11, SNAP25, SNAP47, STX11, STX1B, SV2C, SYT1, SYT12, SYT2, SYT4, SYT8, SYT9, TH, TRPC4, UNC13A, UNC13B, UNC13C"
"GO:0050808","synapse organization",266,9e-06,0.935,"ACTL8, ACTN1, ADAM10, ADD2, ARF1, BDNF, C1QB, C1QC, CACNA2D2, CACNB4, CACNG2, CAST, CDH2, CDH9, CHRNA7, CNTN2, CNTN5, COL4A1, CTBP2, CTNNA2, CTNND2, DLG2, DLG4, DLGAP3, DNER, DOCK10, DRD2, DSCAM, DVL1, EFNA5, ELFN1, EPHB1, ERBB4, ERC2, FYN, GABRB3, GDNF, GPC6, GPHN, GPM6A, GRID2, GRM5, IGSF21, IL1RAP, ITGAM, KALRN, KIRREL3, LMX1A, LRFN5, LRRC4C, LRRK2, LRRTM3, MAGI2, MAP1B, MYO5A, NFASC, NFIA, NLGN1, NLGN2, NPTN, NRG1, NRP1, NRXN1, NRXN2, NTNG2, PALM, PCDHB11, PCDHB13, PCDHB4, PCLO, PFN2, PLXNB2, PPFIA2, PTPRD, PTPRS, RELN, RYK, SDK1, SDK2, SEZ6, SEZ6L, SHANK1, SHANK2, SLITRK1, SPOCK2, SYBU, SYNPO, TANC1, TMEM108, TNR, TREM2, UNC13A, UNC13B, UNC13C, UTRN, WASF3, WNT5A, WNT7B"
"GO:0007409","axonogenesis",360,2e-05,0.937,"APBB2, ATP8A2, AUTS2, B4GALT5, BDNF, BMP7, BOC, CDH11, CDH4, CHN1, CNTN2, CNTN4, CNTN6, COBL, COL25A1, CRMP1, CSF1R, CTNNA2, CXCL12, DAB1, DAG1, DCC, DCLK1, DOK5, DOK6, DRAXIN, DRD2, DRGX, DSCAM, DSCAML1, DVL1, EFNA5, EGFLAM, EPHA10, EPHA2, EPHA5, EPHA6, EPHB1, EVL, FAM129B, FLRT2, FYN, GAB2, GAP43, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GRB2, HSP90AB1, IGSF9, IRS2, KIF5C, KLF7, LAMA2, LGI1, LGR6, LMX1A, LRTM2, MAP1B, MAP2, MATN2, NCAM1, NDEL1, NDN, NEXN, NFASC, NFIB, NPTN, NR4A3, NRP1, NRXN1, NRXN3, NTN1, NTNG2, NTRK1, NUMBL, PAFAH1B1, PALLD, PARD3, PARD6B, PICALM, PIK3CD, PLXNA4, PLXNB2, PLXNC1, PRKCA, PRKCQ, PTPRM, PTPRO, PTPRZ1, RAP1GAP, RELN, RET, RHOBTB3, ROBO1, ROBO2, ROBO4, RYK, SEMA5A, SEMA5B, SHC1, SHC3, SLIT1, SLIT2, SLIT3, SLITRK1, SPTA1, SPTAN1, SPTBN1, SPTBN4, SPTBN5, TNN, TNR, ULK2, UNC5A, UNC5B, UNC5C, UNC5D, WNT5A, ZEB2"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",158,2e-05,0.00103,"CADM1, CADM3, CDH10, CDH11, CDH13, CDH17, CDH18, CDH2, CDH20, CDH22, CDH23, CDH4, CDH5, CDH6, CDH8, CDH9, CDHR1, CDHR2, CDHR3, CDHR4, CELSR1, CLSTN2, CNTN2, CNTN4, CNTN6, DCHS2, DSC2, DSCAM, DSCAML1, FAT1, FAT3, FAT4, HMCN1, IGSF11, IGSF21, IGSF9, KIRREL3, NEXN, NPTN, PALLD, PCDH1, PCDH12, PCDH15, PCDH7, PCDH9, PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHB11, PCDHB13, PCDHB4, PLXNB2, PTPRM, PTPRT, RET, ROBO1, ROBO2, ROBO4, SDK1, SDK2, TENM3"
"GO:0071804","cellular potassium ion transport",149,2e-05,0.778,"ABCC8, ABCC9, ATP1A2, ATP4A, FXYD2, HCN1, HCN4, HPN, KCNA1, KCNA2, KCNAB1, KCNAB2, KCNB1, KCNC2, KCNC4, KCND2, KCND3, KCNE4, KCNG4, KCNH1, KCNH5, KCNH6, KCNH8, KCNIP1, KCNIP4, KCNJ10, KCNJ12, KCNJ15, KCNJ16, KCNJ4, KCNJ5, KCNJ6, KCNJ8, KCNK12, KCNK13, KCNK16, KCNK18, KCNK9, KCNMA1, KCNMB1, KCNMB2, KCNN3, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS3, KCNT2, LRRC55, NALCN, SLC12A1, SLC12A3, SLC12A5, SLC12A6, SLC12A7, SLC24A2, SLC24A3, SLC24A5, SLC9A4, SLC9A9, SLC9C2, SNAP25"
"GO:0071805","potassium ion transmembrane transport",149,2e-05,0.778,"ABCC8, ABCC9, ATP1A2, ATP4A, FXYD2, HCN1, HCN4, HPN, KCNA1, KCNA2, KCNAB1, KCNAB2, KCNB1, KCNC2, KCNC4, KCND2, KCND3, KCNE4, KCNG4, KCNH1, KCNH5, KCNH6, KCNH8, KCNIP1, KCNIP4, KCNJ10, KCNJ12, KCNJ15, KCNJ16, KCNJ4, KCNJ5, KCNJ6, KCNJ8, KCNK12, KCNK13, KCNK16, KCNK18, KCNK9, KCNMA1, KCNMB1, KCNMB2, KCNN3, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS3, KCNT2, LRRC55, NALCN, SLC12A1, SLC12A3, SLC12A5, SLC12A6, SLC12A7, SLC24A2, SLC24A3, SLC24A5, SLC9A4, SLC9A9, SLC9C2, SNAP25"
"GO:0010976","positive regulation of neuron projection development",276,3e-05,0.946,"ALK, ARF1, ATP8A2, BDNF, BMP5, BMP7, BMPR2, CAMK1D, CAMK2B, CDH4, CDKL3, CFLAR, CHODL, CNR1, CNTN1, COBL, CPNE5, CPNE6, CPNE9, CREB3L2, CUX1, CUX2, CXCL12, DISC1, DLG4, DPYSL3, DSCAM, DVL1, EFNA5, FES, FGFR1, FIG4, FN1, FYN, GPC2, GRIP1, HGF, IQGAP1, KALRN, LIMK1, LPAR1, LRRC7, LYN, MAGI2, MAP1B, MAP2K1, MAP2K2, MAPK6, MARK2, MEGF8, NDEL1, NEDD4L, NEGR1, NEURL1, NFE2L2, NGF, NGFR, NLGN1, NPTN, NRP1, NTN1, NTRK1, NTRK2, NTRK3, PACSIN1, PAFAH1B1, PLXNA4, PLXNB2, PLXNC1, PRKD1, PTN, PTPRD, RELN, RET, RIMS1, RIT2, ROBO1, ROBO2, ROR1, ROR2, SEMA5A, SHANK1, SHANK2, SLIT2, SLITRK1, SMURF1, SYT1, SYT17, SYT2, SYT4, TENM3, TIAM1, TRAK1, TWF2, UNC13A, WNT5A, ZEB2, ZMYND8, ZNF804A"
"GO:0045666","positive regulation of neuron differentiation",357,3e-05,0.944,"ALK, ARF1, ARHGEF2, ATP8A2, BDNF, BMP5, BMP6, BMP7, BMPR2, BRINP1, BRINP2, CAMK1D, CAMK2B, CDH4, CDKL3, CFLAR, CHODL, CNR1, CNTN1, COBL, CPNE1, CPNE5, CPNE6, CPNE9, CREB3L2, CUX1, CUX2, CXCL12, DAB1, DISC1, DLG4, DNMT3B, DPYSL3, DSCAM, DVL1, EFNA5, EIF4G1, FES, FGFR1, FIG4, FN1, FYN, GDPD5, GLI2, GPC2, GRIP1, HGF, HOXD3, IQGAP1, KALRN, KDM4C, LIMK1, LPAR1, LRRC7, LYN, MAGI2, MAP1B, MAP2K1, MAP2K2, MAPK6, MARK2, MEGF8, NCOA1, NDEL1, NEDD4L, NEGR1, NEURL1, NFE2L2, NGF, NGFR, NLGN1, NPTN, NRP1, NTN1, NTRK1, NTRK2, NTRK3, PACSIN1, PAFAH1B1, PLXNA4, PLXNB2, PLXNC1, PRKD1, PRPF19, PTN, PTPRD, RARB, RELN, RET, RIMS1, RIT2, RNF112, ROBO1, ROBO2, ROR1, ROR2, SEMA5A, SH3GL3, SHANK1, SHANK2, SLIT2, SLITRK1, SMURF1, SYT1, SYT17, SYT2, SYT4, TCF4, TENM3, TIAM1, TIMP2, TRAK1, TRPC6, TWF2, UNC13A, VWC2, VWC2L, WNT5A, ZEB1, ZEB2, ZMYND8, ZNF804A"
"GO:0006813","potassium ion transport",157,3e-05,0.804,"ABCC8, ABCC9, ATP1A2, ATP4A, CHP1, FXYD2, FXYD3, HCN1, HCN4, HPN, KCNA1, KCNA2, KCNAB1, KCNAB2, KCNB1, KCNC2, KCNC4, KCND2, KCND3, KCNE4, KCNG4, KCNH1, KCNH5, KCNH6, KCNH8, KCNIP1, KCNIP4, KCNJ10, KCNJ12, KCNJ15, KCNJ16, KCNJ4, KCNJ5, KCNJ6, KCNJ8, KCNK12, KCNK13, KCNK16, KCNK18, KCNK9, KCNMA1, KCNMB1, KCNMB2, KCNN3, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS3, KCNT2, LRRC55, NALCN, SLC12A1, SLC12A3, SLC12A5, SLC12A6, SLC12A7, SLC24A2, SLC24A3, SLC24A5, SLC9A4, SLC9A9, SLC9C2, SNAP25"
"GO:1904062","regulation of cation transmembrane transport",333,3e-05,0.983,"ACTN2, ACTN4, AHNAK, AKAP6, ANK2, ANO6, APOPT1, ARF1, ATP1A2, BDKRB1, CACNA1C, CACNA2D1, CACNB4, CACNG2, CACNG4, CACNG5, CALCR, CAMK2D, CASQ1, CASQ2, CCR2, CHP1, CNIH3, COMMD1, CRH, CRHBP, CRHR1, DLG2, DLG4, DNM2, DPP10, DPP6, DRD2, DRD3, DYSF, EDN3, F2RL3, FGF12, FGF14, FXYD2, FXYD3, FXYD6, FYN, GRIA1, GRIA4, GRIN2A, GRIN2B, GSG1L, HAP1, HECW1, HECW2, HSPA2, IFNG, JPH1, JPH3, JPH4, KCNA1, KCNAB1, KCNAB2, KCNC2, KCNE4, KCNIP1, KCNIP4, KCNMB1, KCNQ1, LACRT, LRRC55, LRRC7, LYN, MINK1, MYO5A, NEDD4L, NETO1, NETO2, NLGN1, NLGN2, NOS1, NTSR1, OPRM1, OR56A1, OR5T1, PDE4B, PDE4D, PPIF, PRKCE, RAMP3, RASGRF1, RELN, RRAD, RYR2, SCN2B, SCN5A, SHANK1, SHANK2, SHISA6, SHISA9, SLC8A1, STAC, STAC2, STIM1, STK39, TESC, THADA, THY1, TLR9, TMC1, TMC2, TRDN, TREM2, TWIST1, UBASH3B, UTRN, WWP2"
